ticketno,alarmno,alarmtime,alarmlevel,alarmmsg_original,site,sysname,unit,slot,port,sva,root_cause_domain,root_cause_type
21122633.0,1669820428245,2022-12-01 00:02:24+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21122633.0,1669821318728,2022-12-01 00:17:15+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21122633.0,1669822214832,2022-12-01 00:32:11+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21122633.0,1669823114128,2022-12-01 00:47:10+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21122633.0,1669824028082,2022-12-01 01:02:24+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21123581.0,1669824374054,2022-12-01 01:08:00+09:00,7,OPT-LOS,AENP,afvf,EQPT,1.0,2.0,NSA,A,LinkCut
21123581.0,1669824373943,2022-12-01 01:08:00+09:00,5,DCC-FAIL,AENP,afvf,EQPT,1.0,,NSA,A,LinkCut
21123591.0,1669824374127,2022-12-01 01:08:00+09:00,7,OPT-LOS,AENP,afvc,EQPT,2.0,4.0,NSA,A,LinkCut
21123580.0,1669824375448,2022-12-01 01:08:05+09:00,5,LSP-LOC,AENP,afvh,EQPT,4.0,1.0,NSA,A,LinkCut
21123584.0,1669824375336,2022-12-01 01:08:05+09:00,5,LSP-LOC,AENP,afvg,EQPT,4.0,1.0,NSA,A,LinkCut
21123591.0,1669824383436,2022-12-01 01:08:20+09:00,7,OPT-LOS,AENP,afvc,EQPT,5.0,1.0,NSA,A,LinkCut
21123665.0,1669824664343,2022-12-01 01:13:01+09:00,5,ETH-NO-RX-TRAFFIC,AENQ,afvl,EQPT,1.0,3.0,NSA,A,LinkCut
21123665.0,1669824665366,2022-12-01 01:13:02+09:00,5,ETH-NO-RX-TRAFFIC,AENQ,afvl,EQPT,2.0,4.0,NSA,A,LinkCut
21123665.0,1669824665459,2022-12-01 01:13:02+09:00,5,ETH-NO-RX-TRAFFIC,AENQ,afvl,EQPT,3.0,1.0,NSA,A,LinkCut
21122633.0,1669824921611,2022-12-01 01:17:18+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21122633.0,1669825826843,2022-12-01 01:32:23+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21122633.0,1669826727570,2022-12-01 01:47:24+09:00,5,ETH-ERR,ACEN,acnt,EQPT,3.0,1.0,NSA,A,LinkCut
21124601.0,1669828316301,2022-12-01 02:13:51+09:00,7,OPT-LOS,AENP,afvc,EQPT,2.0,3.0,NSA,A,LinkCut
21124603.0,1669828317240,2022-12-01 02:13:53+09:00,5,LSP-LOC,ABVR,acdi,EQPT,7.0,1.0,NSA,A,LinkCut
21124603.0,1669828317174,2022-12-01 02:13:53+09:00,5,LSP-LOC,ABVR,acdi,EQPT,6.0,3.0,NSA,A,LinkCut
21124603.0,1669828317097,2022-12-01 02:13:53+09:00,5,LSP-LOC,ABVR,acdi,EQPT,6.0,3.0,NSA,A,LinkCut
21124603.0,1669828316926,2022-12-01 02:13:53+09:00,5,LSP-LOC,ABVR,acdi,EQPT,6.0,1.0,NSA,A,LinkCut
21124603.0,1669828317316,2022-12-01 02:13:53+09:00,5,LSP-LOC,ABVR,acdi,EQPT,7.0,3.0,NSA,A,LinkCut
